Corps,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,,,
River City Rhythm,,,,,,,,,,,,,13.88,15.23,,,,,,,,,15.15,15.15,,,,,,,,,,,,,,17.6,,,,,,,19.5,,,,,,,
Santa Clara Vanguard,,20.5,20.55,21.25,,,,,21.55,21.7,,,21,22.05,22.43,,23.35,,,24.15,24.15,24.55,,24.53,24.25,24.35,,,24.95,24.65,24.48,,,,,,26.78,27,26.75,,27.15,,27.5,,27.81,,,,,,,
SCVC,,15.15,15.5,15.6,,,,,,,,,,,,17.15,17.75,,,,,,18.1,18.4,18.95,,,,,,,,,,19.95,,20.25,20.5,,,21.08,20.85,,22.55,22.48,,,,,,,
Shadow,,,,,,,,,,,,,,,,,,14.65,14.95,,,,,,,,,,,,,,,,16.65,,16.28,,17.6,,18,17.25,,,19.04,,,,,,,
Spartans,,,,,,,,,15.7,16.65,16.95,,16.88,,,,,,,,,,,,,,,,,,19.73,,,,,,19.58,20,20,,20.5,,,21.83,21.18,,,,,,,
Spirit of Atlanta,,,,,,,,,,,,,,,,19.4,19.2,,17.8,20.35,,,19.35,19.5,,,20.45,21.05,20.4,,20.54,,,20.9,20.7,21.7,21.15,22.18,,22.75,22.05,,,22.5,,,,,,,,
The Academy,,17.75,17.65,18,,,,,17.75,19.75,20.4,,20.18,,20.4,,20.5,20.7,20.7,,,21.3,,21,22.2,,22.15,,22.4,,22.73,,,23.4,23.3,23.85,,23.86,,,24.55,24.85,,25.63,,,,,,,,
The Cadets,19.9,,19.8,20.7,,21.15,,21.8,,21.9,23.1,,23.03,,,23.05,23.4,,23.8,24.4,,,24.3,24.65,24.55,24.85,,24.6,25.2,24.95,25.36,,,,26.2,,26.2,26.18,,,27.1,,27.4,,27.86,,,,,,,
The Cavaliers,19.25,,19.35,19.95,,21.9,22.13,,21.7,21.3,22.8,,,,,21.98,22.75,,22.55,,15.7,24.1,,24.025,23.65,23.9,,,24.35,24,24.79,,,25.65,25.8,26.15,,26.18,26.4,26.75,,,27.3,,27.38,,,,,,,
Troopers,,,16.2,18.45,,19.8,20.1,,20.8,18.53,20.25,,,,,19.73,20.6,,19.25,21.3,21.6,,,21.03,,21.95,21.9,,22.3,,22.29,,22.6,22.7,22.7,23.8,,23.93,,24.6,,25.25,,24.48,,,,,,,,
