Corps,1/1/1900,1/2/1900,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,,,,,,,,,,,,,,
River City Rhythm,,,,,,,,,,,,,16.7,17.5,,,,,,,,,20.7,20.2,,,,,,,,,,,,,,22.5,,,,,,,,,,,,,,
Santa Clara Vanguard,,26.2,26.3,27.2,,,,,28.4,29,,,29.8,29.8,30.4,,30.9,,,31.2,31.9,31.9,,32.1,32.2,32.3,,,33.2,33.1,33.95,,,,,,35.1,35.55,,,,,,,,,,,,,,
SCVC,,20.4,20.5,20.9,,,,,,,,,,,,21.1,23.8,,,,,,25.2,25.9,26,,,,,,,,,,26,,26.8,27.5,,,,,,,,,,,,,,
Shadow,,,,,,,,,,,,,,,,,,18.5,18,,,,,,,,,,,,,,,,21.4,,21.6,,,,,,,,,,,,,,,
Spartans,,,,,,,,,21.8,20.7,21.9,,23.6,,,,,,,,,,,,,,,,,,24.3,,,,,,26.7,26.7,,,,,,,,,,,,,,
Spirit of Atlanta,,,,,,,,,,,,,,,,25.2,23.2,,23.3,24.4,,,27.1,26.6,,,27.6,27.7,28.2,,27.7,,,27.8,29.8,29.9,30.2,30.05,,,,,,,,,,,,,,
The Academy,,23.3,22.9,23.9,,,,,23.9,25.7,26.2,,27.3,,26.9,,27.9,29,27.9,,,28.2,,29,29.3,,30.9,,30.2,,30.6,,,32.4,32.6,33.6,,32.9,,,,,,,,,,,,,,
The Cadets,27.7,,26.4,27.9,,28.5,,29.2,,29.1,30.6,,31.3,,,30.1,30.2,,31.3,32.4,,,32.5,32.2,32.3,32.2,,32.9,33.2,32.5,33.3,,,,35.5,,34.7,34.9,,,,,,,,,,,,,,
The Cavaliers,26.9,,26,26.6,,28,29,,29.8,29.8,30.2,,,,,29.9,30.3,,31,,31.3,31.8,,31.9,31.6,32,,,32.4,32.4,33.55,,,34.4,34.5,35.1,,35.1,,,,,,,,,,,,,,
Troopers,,,22.8,25,,25.8,27,,26.9,25.8,27.2,,,,,26.7,26.9,,27.8,28,27.7,,,28.1,,28.3,29.3,,29.7,,29.75,,30.3,31.2,31.3,31.9,,31.93,,,,,,,,,,,,,,
